note,filter,night,season,fiveSigmaDepth,airmass,observationStartMJD,numExposures,visitExposureTime,seeingFwhmEff,seeingFwhmGeom
DD:XMM_LSS,i,1473,5,22.958012078943682,1.8092485131738865,61691.38246394968,2.0,30.0,0.915098693127183,0.8042111257505443
DD:XMM_LSS,i,1474,5,22.99238399676674,1.1378998232568065,61692.26983423263,2.0,30.0,0.8524229584351249,0.7526916718336727
DD:XMM_LSS,i,1480,5,23.85010865695,1.2296499685359514,61698.14344032941,2.0,30.0,0.7388193976470012,0.659309544865835
DD:XMM_LSS,i,1488,5,23.54787411325823,1.192668698527726,61706.13322270879,2.0,30.0,1.02089398820188,0.8911748583019454
DD:XMM_LSS,i,1495,5,23.671441784199327,1.1067240879274027,61713.18182973618,2.0,30.0,0.9370406700641234,0.8222474307927095
DD:XMM_LSS,i,1504,5,22.325181006963383,1.6140470219106164,61722.01817998377,2.0,30.0,1.1287337638107209,0.9798191538524126
DD:XMM_LSS,i,1509,5,23.577549446900868,1.1018401790962877,61727.13495014372,2.0,30.0,0.9513663823649162,0.8340231663039612
DD:XMM_LSS,i,1517,5,24.053937790515025,1.1074953914293122,61735.124171365256,2.0,30.0,0.6639423640610835,0.5977606232582107
DD:XMM_LSS,i,1524,5,23.442967719924305,1.1601527239098637,61742.14798789039,2.0,30.0,1.1416129411858624,0.9904058376547789
DD:XMM_LSS,i,1536,5,23.156618688097012,1.1073581855137613,61754.07326684258,2.0,30.0,1.1339777205729815,0.9841296863109907
DD:XMM_LSS,i,1538,5,23.840958854260222,1.1046712658247446,61756.066914753195,2.0,30.0,0.808083841336996,0.7162449175790107
DD:XMM_LSS,i,1546,5,23.491201058163576,1.134657479334472,61764.070190292725,2.0,30.0,1.1007305252961253,0.9568004917934149
DD:XMM_LSS,i,1553,5,23.827953425901427,1.1771215327513014,61771.07171475659,2.0,30.0,0.7860050135136538,0.6980961211082234
DD:XMM_LSS,i,1566,5,22.29045664842228,2.2737196880550403,61784.15596825333,2.0,30.0,1.700362547170231,1.4496980137739297
DD:XMM_LSS,i,1568,5,23.91657438296059,1.2493834751305042,61786.05262584946,2.0,30.0,0.6944123839913907,0.6228069796409232
DD:XMM_LSS,i,1575,5,23.506861499965808,1.3926038340307976,61793.06208858501,2.0,30.0,0.9679881789547612,0.8476862831008136
DD:XMM_LSS,i,1582,5,23.149012252613993,1.546911231568904,61800.062053964575,2.0,30.0,1.2855001789200853,1.1086811470723101
DD:XMM_LSS,i,1597,5,22.72775271621871,1.901452362667703,61815.05155174549,2.0,30.0,1.7077572632563922,1.4557764703967546
